team_id,team_name,country
5973,Liquid,"United States"
5898,"99damage.de Staff",Germany
5909,"No Problem!",Denmark
5633,"suNny's team",Finland
4576,Menace,Finland
6908,FIVE,China
5298,Minttu,Finland
5906,Torqued,"United States"
6373,"uber g33ks",Denmark
5722,aimface,Serbia
6287,Torpedo,Sweden
5167,RvN,Kuwait
5748,Nostalgie,Europe
6670,CSGO2x,Sweden
5716,Enervate,Russia
4695,TMVG,Finland
5709,Tempo,"United States"
4623,fnatic,Denmark
4608,"Natus Vincere",CIS
7120,Entropy,Europe
6280,Algeria,Algeria
7020,Spirit,Russia
7024,EHOME,China
5136,Finland,Finland
5137,Poland,Poland
6897,visomvet,Sweden
6548,?,Denmark
6539,OVP,Colombia
6242,"CLG Red","United States"
4533,UniversalSoldiers,Poland
7217,subtLe,Canada
6273,Canada,Canada
4680,Recursive,Sweden
6118,"Tempo Storm",Brazil
6420,"KoN Finland",Finland
6774,Signature,Thailand
6133,Orbit,Bulgaria
6451,"myXMG Staff",Norway
6110,Puzzle,China
5378,Virtus.pro,Poland
4690,HEADSHOTBG,Bulgaria
6167,Phenomenon,Russia
6457,"Nexus Storm",Canada
6033,"Keyd Stars",Brazil
6304,Thailand,Thailand
7193,Shadows,Russia
6318,HD4R,Latvia
6829,"Skal du begraves?",Denmark
6408,Arcade,Russia
6902,GODSENT,Sweden
5140,Belgium,Belgium
5802,ePlay,Poland
7017,"Space Jam",Russia
6124,Epsilon,Spain
6154,uX,Germany
4449,webSPELL,France
6161,Skyfire,Australia
5422,dignitas,Denmark
6560,Brekan,Argentina
4908,K29,Belarus
4612,Hawks,Finland
6978,Singularity,Denmark
6211,Renegades,Australia
7028,LGR,Finland
6403,carboN,"South Africa"
5141,Slovakia,Slovakia
4835,Xapso,Denmark
6715,Mineski,Philippines
7039,ArchAngels,Sweden
5537,GamePub.ENTiTY,Macedonia
6422,Emc,"Hong Kong"
5101,Spain,Spain
6771,ProGaming,Brazil
4539,"GIVE IT ALL",Poland
4494,mousesports,Europe
6021,Luminosity,"United States"
7104,Rush,"United States"
6587,"Remo Brave",Brazil
6442,WildSource,Europe
6637,ex-Titan,France
6714,dream[S]cape,Singapore
5103,Netherlands,Netherlands
4688,Epsilon,Sweden
6418,"KoN Sweden",Sweden
4996,"Team aslak",Finland
4559,Millenium,Europe
7082,"Reason fe",Russia
6785,Innova,Brazil
4573,Fraternitas,"Czech Republic"
6415,seven,Iceland
5866,Karma,"United States"
5590,proWince,Serbia
6570,"DEEZ NUTS",Poland
5635,"KIPSIk's team",Finland
5486,HR.mix,CIS
6208,Argentina,Argentina
5679,ESG!,Sweden
4556,myDGB.net,Slovakia
6037,overGame,Spain
6425,Tectonic,"United States"
6460,CSGO.one,Europe
6467,CSGOBESTPOT.com,Sweden
5995,G2,France
7062,"Kalashnikov 47",Sweden
